id,first_name,last_name,married,ip,calification,posts,date
1,James,Stewart,True,73.56.204.5,-8.5,4015,2011-07-15 11:45:46
2,Gregory,Clark,False,105.81.198.64,2.6,9055,2015-08-26 05:28:05
3,Teresa,Butler,True,169.177.95.69,-3.8,4942,2011-12-13 08:55:54
4,Tasha,Smith,True,234.100.134.58,-5.2,7065,2015-02-03 12:46:43
5,Candice,Monroe,True,218.28.2.121,-1.8,8451,2016-09-18 02:11:29
6,Douglas,Hernandez,True,71.223.55.153,2.33,3057,2014-02-01 11:42:33
7,Denise,Jones,True,193.128.188.8,1.24,1924,2012-10-26 09:47:16
8,Mark,Brown,False,233.85.37.37,-7.11,698,2012-08-10 19:47:29
9,Jenna,Mcdaniel,True,110.154.5.128,7.82,8976,2014-12-01 04:43:25
10,Joy,Garcia,False,63.64.27.201,1.19,5342,2015-08-04 03:39:17
11,Melanie,Black,True,105.1.105.240,6.52,59,2014-05-09 16:15:43
12,Alexis,Baker,False,166.34.179.48,-1.7,4255,2014-03-30 03:00:13
13,Robert,Lee,True,117.181.37.55,-5.41,8843,2016-08-13 17:38:06
14,David,May,True,147.16.224.98,-6.49,8607,2016-07-19 01:16:00
15,Brandy,Stevens,True,108.89.123.183,0.74,4189,2011-07-31 09:08:15
16,Karen,Torres,True,73.240.98.166,-1.37,5104,2017-03-10 12:17:42
17,Elizabeth,Kim,False,151.249.54.119,5.31,3856,2016-10-31 09:34:37
18,Denise,Wagner,True,48.97.115.77,6.67,9006,2010-07-30 14:36:04
19,Jeremiah,May,False,97.223.31.210,9.1,197,2014-11-14 14:23:31
20,Jeffery,Carlson,False,134.26.7.171,6.33,1813,2016-04-15 05:40:00
21,Tyler,Bowers,True,99.130.150.245,3.79,3063,2010-10-30 01:54:42
22,David,Olson,False,248.30.111.16,-5.55,3469,2011-02-07 08:34:58
23,Teresa,Horne,False,170.80.30.214,-2.98,918,2017-04-20 20:24:49
24,Kimberly,Walker,True,150.226.22.231,-5.39,3600,2010-06-07 05:25:13
25,Lauren,Hall,False,3.64.189.66,-2.13,3711,2017-01-28 00:20:01
26,Ian,Morris,False,1.252.62.108,-5.86,6946,2010-08-03 02:29:21
27,William,Allen,False,4.79.197.146,-5.7,7426,2017-08-16 02:13:04
28,Alexandria,Thompson,False,165.233.236.230,0.58,2166,2014-06-18 12:42:02
29,Angela,Brown,False,5.47.234.186,-7.24,6723,2012-07-23 05:11:05
30,Eric,Coleman,True,142.156.108.94,8.26,1504,2014-08-01 08:50:35
31,Leslie,Flores,False,6.119.191.199,-5.54,1665,2015-03-27 03:35:43
32,Christopher,Bauer,True,145.149.137.181,0.7,2301,2015-09-18 13:48:29
33,Trevor,Cunningham,True,76.213.178.59,5.93,9365,2010-04-28 03:44:20
34,Vincent,Robinson,False,190.155.82.72,-3.9,8764,2014-01-04 16:09:03
35,Justin,Acevedo,False,86.199.3.123,5.41,5176,2016-12-21 05:31:20
36,Jermaine,Leonard,True,47.77.160.82,-8.12,3192,2015-09-19 06:20:22
37,Robert,Hines,True,239.66.112.45,7.36,4450,2014-07-01 02:10:26
38,Matthew,Hunter,False,46.172.69.21,9.79,1175,2017-01-23 15:30:19
39,Theodore,Steele,True,4.245.120.141,-3.3,9171,2012-06-24 07:42:14
40,Debra,Schroeder,True,120.154.60.250,6.63,7113,2010-09-06 19:17:38
41,Nathaniel,Washington,True,172.61.111.117,-2.33,2017,2014-01-04 22:42:01
42,Laura,Cox,True,87.98.162.46,-1.44,7885,2013-05-02 03:20:56
43,Hannah,York,True,184.107.77.99,6.24,1050,2015-12-13 11:41:30
44,Daniel,Flowers,False,49.141.209.2,9.77,313,2010-05-17 22:10:42
45,Jason,Wilkerson,True,177.205.102.161,3.2,5121,2011-08-02 14:04:38
46,Darryl,Collier,False,143.227.152.174,4.17,90,2010-06-23 08:35:56
47,Charles,Williams,True,241.74.223.153,4.78,4122,2015-05-05 00:00:55
48,Jesse,Parker,False,131.139.90.68,2.5,8120,2011-09-02 11:56:42
49,Candace,Willis,False,121.196.223.27,4.74,7837,2012-08-16 09:34:00
50,James,Gomez,True,160.99.40.170,2.92,8401,2014-07-11 07:51:43
51,Donna,Perez,True,93.220.210.135,-3.7,9776,2010-04-23 21:42:36
52,Erica,Hughes,False,186.230.7.45,0.8,8451,2010-08-29 21:21:03
53,Rachel,Murray,False,142.116.128.132,-3.64,5262,2011-11-26 05:03:25
54,Jennifer,White,True,0.164.128.203,-3.1,3669,2012-05-30 10:20:54
55,John,Perkins,False,217.244.75.10,-1.75,17,2011-04-16 16:29:10
56,Jeffery,Mcbride,False,55.160.122.223,6.65,8515,2017-08-31 22:29:35
57,Robert,Cook,False,37.35.216.188,-3.59,8366,2014-02-26 14:30:01
58,Jeremy,Knight,False,240.29.49.251,0.48,8306,2013-09-18 04:39:41
59,Ricardo,Benton,True,189.192.138.41,8.96,1220,2014-05-17 18:16:23
60,Rebecca,Shaw,False,41.101.167.43,4.16,9817,2014-12-27 13:28:12
61,Samantha,Jennings,True,48.24.73.192,0.2,2549,2012-04-26 21:28:19
62,Carlos,Brown,False,218.233.194.191,6.46,5817,2017-03-13 03:42:44
63,Aaron,Small,False,147.172.101.81,5.57,2111,2011-06-15 11:45:26
64,Elaine,Howard,False,18.188.196.251,4.17,3660,2011-11-04 07:27:22
65,Michelle,Lynn,False,201.165.26.182,-6.44,3347,2015-02-07 19:52:31
66,Nicole,Zimmerman,False,102.6.116.24,2.46,6280,2013-10-15 15:29:33
67,April,Brandt,True,232.137.148.214,7.94,139,2014-04-13 19:52:17
68,Laura,Peterson,False,151.39.142.211,-4.58,7195,2013-04-07 09:43:53
69,Tanya,Sparks,True,159.245.218.243,0.46,7503,2011-07-22 05:14:48
70,Peter,Murray,False,90.248.182.129,-9.48,3104,2010-10-16 09:00:39
71,Sierra,Sexton,True,51.110.45.210,-4.16,1161,2016-04-26 13:33:24
72,Donna,Gates,False,57.160.81.127,-1.8,1810,2015-03-24 20:33:19
73,Cory,Oliver,False,23.91.180.18,5.13,9507,2013-03-15 02:02:10
74,James,Adams,False,31.118.157.32,-2.33,2429,2014-05-28 14:31:46
75,Eric,Pratt,False,153.224.81.13,-5.9,3905,2011-02-11 20:55:47
76,Maurice,Becker,False,231.32.244.17,4.33,2876,2012-05-10 00:28:00
77,Bryce,Chavez,True,89.168.64.76,3.48,1477,2012-01-18 22:04:07
78,Claudia,Watson,True,203.161.153.180,0.87,2168,2016-06-17 11:49:28
79,Elaine,Young,True,244.65.232.132,-6.35,2685,2017-08-18 21:20:27
80,Corey,Johnson,False,9.152.196.66,0.33,3120,2010-04-11 18:28:02
81,Paul,Dillon,True,1.86.38.44,2.7,9656,2017-05-21 07:39:17
82,Catherine,Reed,False,241.212.224.51,-2.59,8310,2016-05-10 12:05:51
83,Stephanie,Rodriguez,False,159.85.170.174,-3.34,2509,2010-06-06 03:20:01
84,Christopher,Franklin,True,2.225.49.134,-3.36,3955,2012-05-04 16:40:24
85,Christopher,Butler,False,168.112.253.220,4.8,3905,2014-05-05 16:30:47
86,James,Allen,False,107.25.182.138,-4.75,520,2013-04-12 18:35:07
87,Luke,Carpenter,False,47.196.195.127,2.72,5233,2015-09-27 11:14:06
88,Richard,Smith,False,76.176.196.43,-6.95,5427,2013-12-23 15:05:07
89,Todd,Taylor,False,230.82.127.66,5.35,4667,2010-05-13 19:28:30
90,Emma,Cooper,True,227.49.212.42,0.95,6340,2011-03-10 17:53:55
91,Jennifer,Miller,True,159.187.101.233,-9.19,7669,2013-05-04 14:45:52
92,Brenda,Jacobson,False,78.62.125.162,-8.48,6247,2013-12-24 17:28:23
93,Patrick,Gomez,False,139.144.217.15,9.72,4927,2010-06-06 13:40:46
94,Adrian,Garza,True,209.193.134.128,-3.5,9350,2010-07-20 19:46:30
95,Michael,Adams,True,191.221.138.221,3.57,599,2017-05-19 00:17:57
96,Louis,Jackson,True,226.47.53.162,0.88,9754,2012-12-10 05:23:04
97,Christopher,Tate,False,206.177.33.225,5.93,8068,2017-03-29 04:31:08
98,Alexis,Conway,True,106.50.117.25,-2.32,7524,2017-05-20 11:09:18
99,Anne,Allen,True,88.240.134.135,8.83,9843,2014-10-08 05:17:24
100,Melanie,Bennett,True,132.251.107.152,-1.5,9080,2017-07-20 04:01:41
101,Timothy,Powers,True,183.88.191.48,-9.85,865,2016-01-20 17:47:04
102,Jessica,Thompson,False,20.66.50.157,5.8,9502,2012-10-18 22:07:55
103,Joseph,Weber,False,29.238.69.0,4.43,6810,2012-12-19 05:16:15
104,Mary,Hughes,True,42.62.105.110,2.61,6472,2017-11-19 19:41:35
105,Lisa,Marks,False,87.168.8.21,6.14,1487,2016-04-14 16:38:53
106,Aaron,Lewis,False,26.85.107.73,8.38,5512,2014-04-27 00:47:10
107,Michael,Sosa,True,52.100.91.5,0.33,778,2012-02-13 17:26:39
108,Angela,Harrison,False,248.162.123.0,4.31,5843,2011-12-21 08:46:02
109,Julia,Murphy,False,134.128.167.80,9.5,8958,2011-11-18 15:18:56
110,John,Porter,False,69.84.8.12,-1.97,2400,2012-04-26 19:04:30
111,Sierra,Ward,True,201.138.17.113,-7.39,8560,2010-01-05 08:07:07
112,Evan,Collins,True,255.108.158.180,3.75,1635,2014-10-20 04:23:57
113,Kenneth,Mora,True,126.61.21.140,3.38,9139,2012-09-02 08:50:05
114,Ricky,Mack,True,120.251.253.206,-3.6,7365,2013-10-01 00:23:53
115,Allen,Young,False,130.172.54.17,-6.16,9017,2010-06-05 02:21:22
116,Kevin,Lucas,False,170.90.182.168,0.72,4237,2014-08-16 17:38:09
117,Allison,Baxter,True,100.118.208.244,5.44,2126,2011-09-04 11:21:28
118,Dennis,Grant,False,169.219.63.217,3.94,7636,2010-12-18 18:04:48
119,Ronald,Alexander,True,206.165.56.245,-8.3,6862,2012-09-21 20:24:16
120,Anna,Bailey,False,121.50.67.215,3.89,2500,2010-04-08 00:54:16
121,Kimberly,Wagner,False,39.245.236.239,8.95,4821,2015-09-17 19:55:41
122,Monica,Carney,True,156.72.71.28,0.31,1204,2014-06-08 18:29:16
123,Christopher,Peterson,False,44.29.179.253,-9.4,1036,2016-12-26 20:55:28
124,Derrick,Roberts,True,191.196.70.2,-6.16,3262,2011-11-06 21:13:13
125,Jonathan,Hurley,False,71.192.44.209,0.47,265,2010-07-13 22:44:05
126,Vincent,Stewart,True,120.183.115.239,9.94,7201,2017-07-12 20:59:52
127,Austin,Mcdonald,True,75.189.91.123,1.21,3115,2016-05-22 18:35:19
128,Mark,Jones,True,188.122.230.153,0.7,1615,2016-07-07 05:54:02
129,Kelly,Davis,False,121.34.67.133,9.9,3998,2016-03-06 21:01:41
130,Michael,Miller,False,41.188.245.236,3.73,4318,2011-01-19 19:59:49
131,Joseph,Gordon,False,34.227.130.231,4.55,232,2012-05-16 09:45:42
132,Kevin,Graham,False,238.234.180.163,0.47,9610,2010-09-09 05:26:35
133,Patrick,Eaton,False,35.251.182.145,9.24,7868,2011-08-11 02:05:09
134,Ashley,Matthews,True,219.149.252.84,-9.4,3000,2016-03-31 16:16:10
135,Alicia,Davis,True,38.87.113.176,-1.91,4407,2013-06-22 15:51:01
136,Alison,Newton,True,254.238.27.78,-8.72,8082,2013-06-23 15:04:43
137,Brenda,Lee,False,122.82.160.25,-3.85,6977,2014-10-26 05:22:49
138,Ashley,Roberts,False,133.250.5.196,-5.45,3082,2010-10-02 09:32:36
139,Scott,Booker,True,165.253.175.98,-8.85,5218,2013-07-25 08:32:15
140,David,Ramos,False,119.206.121.12,0.38,5080,2010-01-07 10:35:13
141,Jennifer,Townsend,True,37.220.95.98,9.81,3656,2017-07-10 18:08:27
142,Tara,Lynch,True,60.200.182.67,-8.42,3676,2015-03-17 22:49:27
143,Adrian,Thompson,True,76.13.183.213,4.86,8366,2016-09-23 11:55:34
144,Paul,Curtis,True,49.162.157.17,-3.7,5291,2013-07-14 11:03:53
145,Teresa,Peterson,True,53.211.116.77,7.16,5165,2014-04-17 11:24:31
146,Samantha,Wolfe,False,125.82.175.56,8.86,3190,2017-11-10 03:39:02
147,Angela,Wheeler,False,209.107.225.39,-7.0,8360,2013-08-07 07:18:14
148,Alicia,Warren,True,241.21.214.182,0.11,4075,2013-02-12 01:10:51
149,Sherri,Johnson,True,199.25.173.222,-7.62,8685,2010-04-06 17:00:40
150,Brittany,White,True,95.135.24.215,9.89,6155,2014-04-11 15:32:04
151,John,Lewis,False,78.47.210.238,-2.13,7172,2014-12-04 12:30:19
152,Brittany,Parks,True,90.9.98.101,6.51,2590,2013-12-02 12:45:29
153,Ronald,White,True,34.223.137.4,3.2,5399,2014-03-08 13:28:42
154,Shawn,Guerrero,True,168.63.153.83,-4.87,6354,2014-02-19 05:50:40
155,Vickie,Davis,True,74.178.94.174,3.21,2309,2016-11-01 08:52:56
156,Maria,Kline,False,108.120.132.61,6.55,5415,2010-11-22 20:56:05
157,Teresa,Spears,True,213.15.196.172,2.48,1685,2010-01-05 05:46:55
158,Mark,Ross,True,101.5.193.203,0.1,412,2010-03-18 13:33:39
159,Amanda,Jimenez,True,172.100.223.130,-6.94,1815,2012-11-29 22:02:08
160,Natalie,Green,True,162.55.82.194,0.55,2639,2013-08-25 15:56:57
161,Michael,Smith,False,135.41.98.42,-7.91,767,2014-11-03 23:04:03
162,Elizabeth,Skinner,False,157.190.115.240,0.52,8650,2015-01-30 20:53:49
163,Christina,Hernandez,True,51.130.19.87,-3.18,9828,2010-11-25 20:19:38
164,Ronald,Atkinson,True,44.221.78.50,-1.82,2620,2015-09-30 00:39:56
165,Michael,Peterson,False,145.224.248.198,5.58,6317,2015-09-15 12:54:05
166,Regina,Duran,True,182.174.8.24,1.22,7790,2011-10-28 02:31:42
167,Paige,Boyle,False,24.29.176.134,0.87,3335,2017-06-02 23:56:32
168,Cindy,Bell,False,123.251.14.106,-8.32,1885,2011-01-17 11:46:25
169,Amanda,Jones,False,150.210.141.33,-2.56,8183,2011-01-04 02:03:39
170,Christopher,Rivera,False,16.178.8.188,0.55,7845,2015-10-08 12:10:49
171,Paul,Villanueva,True,155.233.104.45,-9.21,5281,2015-08-06 07:38:07
172,Jennifer,Robertson,False,14.233.19.197,-1.44,4812,2012-02-19 06:42:59
173,Alexander,Reeves,False,120.232.228.248,4.76,865,2012-09-08 21:03:05
174,Heather,Berry,True,245.205.153.208,2.73,59,2010-05-06 23:11:58
175,Amy,Gray,False,203.191.241.129,4.42,3394,2014-06-28 15:30:26
